sensor,n,IS_sum,W_sum,C_sum,AE_sum
6,6167,304443.84683540545,205676.06368389016,5616,31068.219121729093
4,5945,380736.47838729527,265324.4279332389,5303,45241.63301551559
0,6170,386174.2598040374,244338.3623817541,5725,34232.78816004453
5,6167,340891.77963210834,240697.5105008271,5631,39082.99309116332
3,6167,284546.5967934526,196376.42893874613,5661,30777.3090234836
1,6171,91881.65825246814,60602.476285372424,5462,12545.298688134477
7,6168,80988.67489054536,55036.30480942639,5515,12206.39698304911
2,6171,247363.23381025073,191972.00060260927,5818,24911.578503970544
8,6070,227239.0457172863,162977.7293881242,5524,25160.45821949519
12,6163,753012.8268934061,472497.6836709317,5520,55982.53578212602
9,6168,524209.25766922795,326308.735754994,5509,45806.85217779203
15,6167,392408.07621154294,277029.9509247621,5476,45692.95498960444
10,6089,127294.14082971416,82767.50643673225,5428,17550.05484922638
14,6171,395627.38251206814,279766.432161839,5664,43529.92661247336
11,5984,94074.64616859448,64884.95424278383,5407,12133.90860582106
13,5949,261964.4333660788,178636.3145486791,5478,24504.764318127065
16,5475,98338.52288338887,66091.07616703848,4908,13670.459119348157
17,6167,308567.3270026177,222311.50367246443,5713,33526.73021849832
18,6062,131487.69183411382,95583.98202784803,5398,20325.13950455614
19,6170,237918.76995967163,156986.71912611523,5504,26459.617562021216
20,6168,348522.85752245935,243822.16912013976,5644,33681.8162033364
23,6014,596159.0149285125,374733.4408762084,5384,54397.90043960928
21,6062,131188.38320833666,94426.61687876993,5429,19318.148341447435
22,6170,255326.50601851984,172982.89266261426,5476,30573.12064100074
24,6170,188656.74556097272,132369.05518580205,5550,22240.115219684136
26,6162,298525.0853266258,203790.31820425944,5561,38399.08574126234
25,5892,452222.0981050237,330496.4701774719,5290,54105.422933148526
27,6167,74430.13901558402,51287.45925895639,5467,10967.308176885781
30,6057,188430.096320099,127845.61837003393,5517,25756.622644707244
28,6168,223467.33859454814,160476.23437575417,5776,21132.435737850643
29,6159,289758.48827709333,199678.6044211972,5736,27224.823671436687
31,5728,88045.62913331662,61256.33020567516,5064,12137.822904786037
32,6025,264275.60900331166,173025.3712626559,5339,27747.079658882743
33,6162,288429.69874588994,193382.08102824172,5468,30767.740262524036
34,6171,278127.24903685413,195997.6147140846,5712,26715.202725723015
35,6062,135444.35869900158,95782.5388331643,5408,20239.513576711743
38,5856,631473.634451282,454553.7803295364,5280,65438.027494851376
36,6081,262245.1115569942,163403.07324494017,5663,23138.877295819442
37,6169,350225.9523785824,251725.27119827244,5680,31141.288256625725
39,6171,204598.45048685002,151410.1446125736,5635,23707.65985842015
40,6151,322410.67623116577,235849.7841194912,5661,30244.95827701958
41,6073,328002.4157269575,232318.3403358183,5432,35696.34179631197
42,5955,367021.89803439914,252247.29477601175,5399,33687.68836695569
43,6171,651606.379549876,433825.8037629356,5535,52829.13008088663
44,6171,126635.3036179921,80033.71763545515,5483,14585.928890462974
46,5924,85616.55245934341,60071.53712905701,5258,12200.794371592536
45,6171,119844.54241904167,73531.24628042724,5455,14088.732262535106
47,6119,418033.9287753608,282054.49047918903,5411,46735.675880345414
48,6171,456916.58260112396,301860.52058530645,5617,44746.66538161884
50,6062,128085.00994031309,93100.70263948779,5421,19807.237301958965
49,5891,240296.8601845374,162515.05813489694,5342,27401.821520911315
51,5963,253135.07647303568,180124.48049279008,5365,36665.61434577552
52,6165,505801.0848340041,356532.21215462405,5602,51949.03421213708
54,6165,342845.18792332074,244452.29161831082,5586,32403.068424526842
53,6171,172401.19208527257,128019.18309613239,5534,28199.977830939184
55,6044,75309.45912099606,50993.3567534442,5357,10703.037593775833
56,3789,413172.3411475247,264896.9064180147,3277,38138.9605499225
57,6171,265447.4787120086,175618.243474894,5585,25034.984445104168
58,6166,251717.86805156004,167350.51699618986,5479,31459.527678739487
59,6140,184223.5978161605,129844.97438086758,5548,20537.13596322032
60,4715,368992.0935119669,228849.7059593109,4094,37827.737220811825
61,6164,765261.7839567679,517220.74994250084,5543,71180.63114990674
62,5904,406283.72336511256,273486.26995752595,5266,46945.87249763837
63,4716,352059.55744595855,226112.6127401247,4109,41198.64700344988
64,6171,259202.01006047192,187670.17943935195,5833,23103.154018345318
65,6170,158779.8388291178,100654.84185132165,5523,21636.294912092388
66,5894,70235.71210304205,42766.02738529357,5216,9319.971468596836
67,6102,150497.00153192144,97496.11712142655,5449,15411.798001652345
68,6171,364478.08681567886,237098.5984696855,5628,33964.03229481864
69,6103,454668.9144443177,309880.6590665887,5500,47316.96553773045
70,4645,310402.44086679874,187815.48508934374,4238,25911.308578112763
71,4653,156250.01827115106,108068.17180195785,4143,14423.901790282936
72,6103,394965.14624044887,277196.27208684065,5488,45093.9364468793
73,6157,481820.849359615,336163.8721169737,5531,51185.941613627474
75,6171,353701.7651939016,242756.49086943042,5496,41850.55865882108
74,6171,372618.4475789817,243628.91569728745,5647,28282.0387174965
76,6102,423049.2193613488,284840.5897527624,5418,46916.18871418633
77,5716,453611.1158394105,292960.58588530205,5183,41847.48564905593
78,6171,290927.73882789497,227770.79828302874,5837,30756.5100283702
79,6171,266644.18722297536,202094.80703504037,5816,25546.189294853575
80,6164,271665.56972134503,183338.6621965249,5570,30397.667420342004
81,4716,365581.25054196134,243758.3937619019,4128,41318.618843995784
82,4306,489177.1322722652,300114.13992184104,3761,41151.19642921472
84,6171,432541.45058029366,280930.4055271565,5638,38961.09088957673
83,5726,270845.24051287613,185472.6148732843,5318,25317.692299424274
85,6168,162213.10514544602,112639.87717954392,5758,16377.81431166467
86,6171,323387.02736352006,232301.49275019945,5643,38216.9763584953
87,6171,384976.29463302164,286501.47088469146,5622,45076.54646328048
88,6171,424613.7934382722,279958.9984684563,5692,36617.24719647879
89,6171,253859.05415742216,167566.64553756028,5648,24160.186501390333
91,6167,332714.2737093984,241439.74278800853,5506,38399.159442248645
90,6054,90200.04623012905,61383.19890210547,5595,10980.043226288772
93,6167,386949.4393184234,262277.71020412684,5638,31475.1537469194
94,6171,272985.62243941595,180360.90216921642,5567,26936.225356191175
92,6042,75328.67344808814,46494.22797736856,5403,9222.910335919822
95,5892,503745.53477213683,365338.5128543539,5339,49938.09289047479
97,6166,363557.8377068883,247883.44426290953,5655,31592.36517356463
96,5362,350079.7376682651,191609.105573434,4912,26280.098271974497
98,6171,338459.0473947942,228676.07062966947,5541,35007.364061316046
100,6171,497139.72946618707,353840.7482465958,5569,54430.45722672517
99,6171,85330.64158812395,52056.77334891526,5474,10563.334772459006
101,5913,333245.47592884686,227261.221051866,5347,37187.97717792512
102,5908,365221.29876487714,239171.55988253388,5303,32196.875498589015
103,6168,355702.3415513326,244655.21538984362,5615,35150.31684472734
104,6157,274710.8928823654,187396.59117897463,5715,26307.872428602357
105,5768,65755.27061808642,44186.30666981658,5334,8987.355879578665
106,5714,88000.5140155556,60346.49189174242,5117,11200.163692468122
107,6166,68656.88809012953,50985.85320036423,5576,9471.753310345128
109,5618,164266.26338838364,111736.87468387843,4998,20766.454908477255
108,6036,93952.42990077492,60699.2019829403,5451,11305.265212814269
110,6170,163768.59483601782,120596.09759528015,5585,20164.353916160122
111,5955,371500.7507910864,255686.0571715843,5441,33591.17777719773
112,6170,343037.2548513974,230548.80845534737,5538,37890.03400691357
113,6170,423714.7003284539,297942.154930086,5659,44356.63381030605
114,6153,258655.79325211325,167595.8676138581,5570,25406.115133522835
116,6170,390523.87171482074,239402.06997690068,5508,35824.12504889487
115,6165,404888.6144330291,256455.3111918059,5720,33823.50222548005
117,6166,403093.71582784376,259622.5324009795,5495,34774.84191453135
118,6113,118705.43471548178,78493.45060414859,5526,13691.959585243863
119,6171,395803.42272508156,257415.00357078793,5630,29586.024006031388
120,5891,453809.72693174,329782.21125346713,5366,49678.98653526264
121,5845,141022.91818317218,97228.92885917405,5231,20964.55301170493
122,6170,338924.3500170878,250414.6018104507,5711,32075.491417911726
124,6022,491983.58809608966,329592.8582408116,5458,45741.59230744675
125,5980,472335.1158955903,311162.7855230539,5418,47278.2865442857
123,6171,114750.26124789203,76893.97909463047,5468,13582.016047780719
126,6062,230267.99809266886,161014.24119981047,5439,32589.149287324548
127,5919,838235.4120625244,554553.1413769054,5347,63552.14001902392
128,6169,292183.80095224956,208798.99014866585,5623,29772.63815841773
129,5891,212096.39983801253,129503.64116574329,5291,23845.483529667235
130,6169,509932.92100847105,352975.4313915726,5584,47714.25630439399
131,6170,460104.2289813098,317422.0785390683,5615,44977.903924409286
133,6169,284572.66932469845,209563.8723162186,5566,36067.02217192819
132,5959,124057.94330696565,79255.71216536041,5503,11974.558395867398
134,5913,516935.79415396467,349979.87533863407,5298,45780.40390399916
135,6164,157209.93528949187,103024.58090255993,5566,18512.61641264657
136,6167,314132.206364216,211518.40979595212,5554,30271.651408927373
137,6119,412213.23516774253,288127.60080843244,5528,44905.896045191934
138,5347,189209.58743031893,137803.53232844756,4955,22873.379987143016
139,5885,574633.8603020067,403605.6226028121,5277,56865.430758021415
140,6170,408569.16278934653,288427.8658702495,5647,48828.8344994659
141,6138,428667.20695698593,298397.3936857982,5518,47131.453338238854
142,5953,379939.1852115401,265661.94592570304,5467,34314.69934816708
143,5997,271096.54930380476,159487.41269829118,5309,26611.714913782816
144,6128,460399.40685614565,329961.2145857052,5464,46947.41934576168
145,6169,476946.2195143158,332672.447658439,5727,36524.63648260632
147,5890,160651.93445959137,98931.05432664716,5186,19438.265726466645
146,6073,517588.2101309293,332367.40347692696,5466,44799.62206385299
148,6074,506509.57286853134,365579.69424279075,5470,52241.69889184633
149,6169,491181.1831995733,325108.7436123818,5722,40562.91885467082
151,6171,318217.53725307336,209408.72355809732,5568,33165.166194734535
150,5812,482167.94798048737,340803.45722737524,5263,48599.066543373476
152,6160,111905.167744049,77930.73832992726,5446,15463.856053445108
153,6171,120032.84597310366,75935.23909686902,5480,15171.031405737687
154,6171,306146.36542504485,208924.7548674171,5668,31054.027770301756
155,6168,856477.5958081177,577286.0715516796,5515,67267.59265756335
156,6171,107038.43268139556,74536.36874600618,5553,15924.868640863084
157,6169,395047.9193850794,266280.2919047412,5665,36407.786296178405
158,6169,425123.383860866,296310.23024744284,5558,46659.38395670528
159,6167,777953.9587369186,553128.0367047656,5518,67438.08588641968
160,5491,679045.4490249249,474084.93467925425,4908,58388.663596970546
161,5493,284417.3598818484,202953.4744511066,5108,27529.3610381962
162,6170,421024.62121971394,279518.05421712494,5681,35203.184359162464
163,6168,907414.6614587909,632259.7344342914,5535,72136.95109075405
164,6145,441946.9251145546,309720.68636238057,5582,44843.859003988604
165,6022,504439.9613127686,348527.0939758991,5440,51994.9291744448
166,5413,233084.9443061994,161292.22427123305,5015,27936.56197560491
167,6170,146323.31165602838,96723.97993626863,5502,16066.40727425534
168,6171,226083.36000341232,161556.06237155772,5614,23762.245880476064
169,6171,169964.7385887295,118811.58469782921,5499,20813.63623327077
170,5913,324495.232940772,234171.198564702,5249,39282.085632566144
172,6164,372980.4624515999,279871.51042405923,5671,46604.5230299742
171,6171,84433.12561684899,58540.678463092925,5463,12532.154587613857
173,6171,83977.26878154784,58785.45768159068,5475,12953.10015886899
175,6169,326607.3414387542,236643.15404205906,5600,35335.52691966979
174,5177,484943.7536585731,339263.4858159372,4606,48711.06118290172
176,6087,359365.74578344513,244371.36338688355,5626,33186.88368345998
177,6168,85871.95302266072,57025.16525013118,5469,12061.516451283474
178,6159,145946.40664451948,103334.16604856795,5538,17776.689088911364
179,6171,126514.55761571479,87228.75872355026,5498,18257.70217160732
180,5074,264709.53115743806,162954.0764723559,4410,31435.702712789112
181,5075,350492.93803010567,220607.42158722423,4486,32416.109919381022
182,6171,244906.47933941154,175005.43654941852,5704,24889.945216565175
183,5998,50919.72921000619,32461.35592548849,5382,7257.86160771054
184,6171,86529.93959345142,53936.13048092166,5505,12560.441581771902
185,6135,266197.43861309,193045.87676625146,5730,26252.929049978135
186,6171,271655.5253664278,190157.96447762422,5671,29301.480080744033
187,6171,728806.592151069,501115.2778201448,5544,62822.261847949514
188,6170,325111.27798767877,242257.15707363785,5685,34747.33196183977
189,5847,153376.1984337138,101560.0797402402,5216,18991.72888195883
190,6169,400212.7341245207,278208.55121351004,5670,40970.9507541701
191,6159,428004.6949556085,307514.44870129996,5525,49265.56116519951
192,6167,335632.61464252276,232945.58191354878,5730,33947.47017816584
193,6160,470615.7516275391,325212.9856528493,5497,47661.93779016855
194,6115,262491.94064459344,190868.14193376398,5577,33208.81797101673
195,6166,375628.4700390751,269231.69631094113,5700,38091.89458470943
