sensor,n,IS_sum,W_sum,C_sum,AE_sum
196,5475,101661.34956087713,69742.08608939358,4935,14604.382522075537
197,6130,283067.40597132314,202200.15051532982,5583,31868.23756353962
198,6168,418547.2934430955,284810.0204911684,5685,34306.39576913198
199,6171,511135.26329193986,334599.3550942097,5632,42446.793765592054
200,6165,110514.32318077527,77418.0899928199,5492,15493.894770661698
201,6168,183308.3235156742,132012.04839344454,5550,21179.314202511672
202,6170,100792.09450068057,66024.99193175156,5528,14447.443047496872
203,6144,94332.79839396552,56901.440024951415,5457,10791.68190397734
204,6170,241274.49744677634,175562.8345935724,5497,30573.293856392942
205,6165,326989.492814411,228876.24411682703,5725,33815.46517487667
206,6165,630052.5123058027,405936.8193946111,5454,59922.623424228965
